"Home","Away","Week","Time"
"CLE","NYG",12,"SUN 1PM"
"DAL","WAS",12,"THU"
"DEN","KC",12,"SUN AFT"
"DET","MIN",12,"THU"
"HOU","SD",12,"SUN 1PM"
"IND","PIT",12,"THU"
"MIA","SF",12,"SUN 1PM"
"NO","LA",12,"SUN 1PM"
"NYJ","NE",12,"SNF"
"OAK","CAR",12,"SUN AFT"
"PHI","GB",12,"MNF"
"TB","SEA",12,"SUN AFT"
"ARI","WAS",13,"SUN AFT"
"ATL","KC",13,"SUN 1PM"
"BAL","MIA",13,"SUN 1PM"
"CHI","SF",13,"SUN 1PM"
"CIN","PHI",13,"SUN 1PM"
"GB","HOU",13,"SUN 1PM"
"JAX","DEN",13,"SUN 1PM"
"MIN","DAL",13,"THU"
"NE","LA",13,"SUN 1PM"
"NO","DET",13,"SUN 1PM"
"NYJ","IND",13,"MNF"
"OAK","BUF",13,"SUN AFT"
"PIT","NYG",13,"SUN AFT"
"SD","TB",13,"SUN AFT"
"SEA","CAR",13,"SNF"
"BUF","PIT",14,"SUN 1PM"
"CAR","SD",14,"SUN 1PM"
"CLE","CIN",14,"SUN 1PM"
"DET","CHI",14,"SUN 1PM"
"GB","SEA",14,"SUN AFT"
"IND","HOU",14,"SUN 1PM"
"JAX","MIN",14,"SUN 1PM"
"KC","OAK",14,"THU"
"LA","ATL",14,"SUN AFT"
"MIA","ARI",14,"SUN 1PM"
"NE","BAL",14,"MNF"
"NYG","DAL",14,"SNF"
"PHI","WAS",14,"SUN 1PM"
"SF","NYJ",14,"SUN AFT"
"TB","NO",14,"SUN 1PM"
"TEN","DEN",14,"SUN 1PM"
"ARI","NO",15,"SUN AFT"
"ATL","SF",15,"SUN AFT"
"BAL","PHI",15,"SUN 1PM"
"BUF","CLE",15,"SUN 1PM"
"CHI","GB",15,"SUN 1PM"
"CIN","PIT",15,"SNF"
"DAL","TB",15,"SUN 1PM"
"DEN","NE",15,"SUN AFT"
"HOU","JAX",15,"SUN 1PM"
"KC","TEN",15,"SUN 1PM"
"MIN","IND",15,"SUN 1PM"
"NYG","DET",15,"SUN 1PM"
"NYJ","MIA",15,"SAT"
"SD","OAK",15,"SUN AFT"
"SEA","LA",15,"THU"
"WAS","CAR",15,"MNF"
"BUF","MIA",16,"SAT"
"CAR","ATL",16,"SAT"
"CHI","WAS",16,"SAT"
"CLE","SD",16,"SAT"
"DAL","DET",16,"MNF"
"GB","MIN",16,"SAT"
"HOU","CIN",16,"SAT"
"JAX","TEN",16,"SAT"
"KC","DEN",16,"SNF"
"LA","SF",16,"SAT"
"NE","NYJ",16,"SAT"
"NO","TB",16,"SAT"
"OAK","IND",16,"SAT"
"PHI","NYG",16,"THU"
"PIT","BAL",16,"SUN AFT"
"SEA","ARI",16,"SAT"
"ATL","NO",17,"SUN 1PM"
"CIN","BAL",17,"SUN 1PM"
"DEN","OAK",17,"SUN AFT"
"DET","GB",17,"SUN 1PM"
"IND","JAX",17,"SUN 1PM"
"LA","ARI",17,"SUN AFT"
"MIA","NE",17,"SUN 1PM"
"MIN","CHI",17,"SUN 1PM"
"NYJ","BUF",17,"SUN 1PM"
"PHI","DAL",17,"SUN 1PM"
"PIT","CLE",17,"SUN 1PM"
"SD","KC",17,"SUN AFT"
"SF","SEA",17,"SUN AFT"
"TB","CAR",17,"SUN 1PM"
"TEN","HOU",17,"SUN 1PM"
"WAS","NYG",17,"SUN 1PM"
